text,isFake,isHateSpeech,isToxic,predicted_isFake,predicted_isHateSpeech,predicted_isToxic
"Dieser neue Virus ist eine verdammte Katastrophe. Ich wünschte, er würde aussterben",-1,0,-1,1,0,1
Den Juden sollte man allen das Leben nehmen,-1,1,-1,1,1,1
"«Der ESC 2023 wird nicht in der Ukraine sein, aber in Unterstützung der Ukraine», sagte der ukrainische Rundfunkchef Mykola Tschernotyzkyj.",-1,0,-1,0,0,0
Frank-Walter Steinmeier in  erneut m. einer   unterwegs. Zählt das schon zur kulturelle Aneignung? Zudem vermisse ich bei unserem  die religiöse Neutralität die von allen Staatsdienern um Dienst verlangt wird. @bild @sz @welt,0,-1,-1,0,0,0
"Nicht zu fassen: @daserste ändert zwar sein Programm aufgrund des schrecklichen  in der  und in , hält aber dennoch an der Ausstrahlung (2 h später) dieser Aachener ""Witzveranstaltung"" mit der vom  so hofierten Leopardin  fest. Pietätlose !",1,-1,-1,1,1,1
Gemäß der Europäischen Menschenrechtskonventionen kann die Versammlung- und Demonstrationsfreiheit kein Privileg für deutsche Staatsbürger sein. Und das ist selbstverständlich gut so.,-1,-1,0,0,0,0
Finde das sehr  geil will gerne mal neuen Nazi votze ballern,-1,-1,1,1,1,1
"Zum vorherigen Retweet: Die ""Tolerant? Sind wir selber""-Filme haben wir im Sommer bei der Pride Night gezeigt. Sehenswert! ^ml",-1,-1,0,0,0,0
"Saudi-Arabien, «Hort der Frauenrechte», will die Frauen Fussball WM 2023 Sponsern! 
 

Die austragenden Länder Australien und Neuseeland, welche in den letzten drei Jahren auch nicht gerade positiv aufgefallen sind, sind empört! https://t.co/F04iaBZhZ2",1,-1,-1,1,0,0
-Quote und  Prämie: Verkaufe deine -Zertifikate für  https://t.co/tbNFCRztBp,0,-1,-1,0,0,0
"Einwanderer nehmen Arbeitsplätze und Dienstleistungen an, ohne Steuern zu zahlen.",-1,1,-1,1,1,1
Flüchtlinge und das Mittelmeer. Eine wahre Freude (wie wenige es schaffen :)),-1,1,-1,1,1,1
"Reden kann der Mann von der  nur, wenn es darum geht, auch Leistung zu zeigen, wird es sehr dünn.

  https://t.co/1MIMlKIS1Z",0,-1,-1,0,0,0
"War er denn schon mal auf einer oder mehreren Demos??? Mit Sicherheit nicht, sonst würde er solch einen Mist nicht sagen.. gekauft von Merkel... sollen mal Antifanten verbieten... die zünden Autos an und schmeissen Steine....",-1,-1,1,1,1,1
"Die Angst lähmt, die Angst öffnet den Schließmuskel und die Polis scheixxen sich an da ist es leichter alte Frauen bei Demos zu knüppeln",-1,-1,1,1,1,1
"was noch fehlt ist, dass  die  und insbesondere  und  für die Verschiebung tektonischer Platten verantwortlich macht.",0,-1,-1,0,0,0
"Ein Jugo wurde abgestochen, lol ;))))) sorry not sorry",-1,1,-1,1,1,1
"Weißt du, ich habe mich immer gefragt, ob diese Waffen Autisten erschießen können ...",-1,1,-1,1,1,1
Jahrzehnte im Bundestag. Das dürfte es nicht geben.,0,-1,-1,0,0,0
die beiden muss man heute abend supporten    https://t.co/juJiilo6Ir,0,-1,-1,0,0,0
"Es ist unglaublich, dass Spastic einfach versucht hat, sie so offen zum Schweigen zu bringen. Was für eine Sauerstoffverschwendung in menschlicher Form.",-1,1,-1,1,1,1
"Annalena Baerbock (Grüne): „Ich habe sehr lange überlegt, was meine heutige Verkleidung angeht. Ich wollte eigentlich als Leopard kommen. Aber dann hatte ich doch etwas Sorge, dass mir das Kanzleramt wochenlang keine Reisegenehmigung erteilt.“ Deutscher Humor in Kriegszeiten.",0,-1,-1,0,0,0
Sie können ohne fremde Hilfe keine beamp…,-1,0,-1,0,0,0
"aber ja, oder wofür bekommen die jeden monat geld von mir??",-1,-1,0,0,0,1
"Die Kirche mausert sich zum größten Gegner der Christenheit - Geld, Islamisten und Schwule sind vielen von ihnen wichtiger als christliche Familien. Dazu kommt noch die Gier nach Geld und Macht - nur mit der Förderung des Islam macht die Kirche aus Geldgier den gleichen Fehler --",-1,-1,1,1,1,1
+++ News zum Erdbeben +++: Todeszahl in Türkei und Syrien steigt auf über 2300 https://t.co/OKhNTk3ifs via @derspiegel,0,-1,-1,0,0,0
Gegen diese braune Scheiße mit/ durch und  ist die   nur ein feuchter Furtz .,-1,-1,1,1,1,1
"tagesschau: Nichts ist mehr, wie es war - ""Es war zerstörerisch"", sagt ein Überlebender. In der Stadt Beira in Mosambik ist nach dem Zyklon ""Idai"" nichts mehr, wie es war. Alles ist zerstört - und Helfer befürchten nun die Ausbreitung von Krankheiten https://t.co/Hek6cnlk8m",0,-1,-1,0,0,0
Herzlichen Glückwunsch zu 70 Jahren FU Bayern! Danke für euer Engagement!,-1,-1,0,0,0,0
"Kleiner Hinweis an die grün-liberale Bubble... Nicht jeder, der  kritisiert ist AfD, Nazi oder Putinversteher. Hört mit euren dämlichen ""Querfront""-Rufen auf, mit denen ihr linke, antifaschistische (Friedens)Politik diskreditiert und nebenbei den Faschismus relativiert.",1,-1,-1,0,1,1
"Kein Gesetz zwingt mich zu Dingen hinter denen ich nicht stehe ,bin keine Leibeigene des Staates",-1,-1,0,0,0,0
"will jetzt den  überwinden.
 und alle , grüne Vorfeldorganisationen sollten sich das hinter die Ohren schreiben: https://t.co/nIBAWTvrov",0,-1,-1,0,0,0
"""Was wusste Malu Dreyer?"" - via @sternde, aktuell zur . @CDUFraktionRLP ist überzeugt, dass es einer ehrlichen und tiefgehenden Analyse bedarf. @ChBaldauf hat sich nun schriftlich an  gewandt und um Beantwortung drängender/offener Fragen gebeten.",1,-1,-1,0,0,0
"Wir sind doch in einer Pandemie. Der Typ muss acht geben, denn seine Weltherrschaft braucht ihn. 

Auch Ausgangssperren gibt's für die elitäre Eliten nicht....

€du/su",-1,-1,1,1,0,1
"Typisches Beispiel, warum mir der von manchen Christen propagierte ""seamless garment"" Lebensschutz suspekt ist:
https://t.co/DjIiV1v9zV

48 Seiten und Abtreibung/Schwangerschaft kommen NICHT EINMAL vor.

Kommt nennenswerte Anzahl von ganzheitlichen christlichen Lebensschützern",0,-1,-1,0,0,0
"Erdbeben in der Türkei /      
https://t.co/lUzDzK8nmb",0,-1,-1,0,0,0
"Man sieht das auch an den Laufdaten: Es liegt nicht daran, dass jemand nicht will. 688391	Man sieht das Gesicht seiner behinderten Tochter, auf dem Kakerlaken krabbeln. 688392	Man sieht, dass das Auto schwierig zu fahren ist, aber Felipe hat mir bereits Onboard-Kameraaufnahmen geschickt, damit ich das Auto verstehe.",-1,0,-1,0,0,0
