text,isFake,isHateSpeech,isToxic,predicted_isFake,predicted_isHateSpeech,predicted_isToxic
"... sie ist für jede/n anders und manche Menschen können einen Verlust ihrer Heimat nie verwinden, zerbrechen daran.",-1,-1,0,0,0,0
: Alles klar. Anscheinend kann der Gute den Beweis eh nicht führen. Aber mit dem Finger auf andere zeigen kann er schon mal ganz gut...,-1,-1,0,0,0,1
Wir werden überall benachteiligt.  Viele Mütter in Leipzig suchen seit Jahren Kindergartenplätze.  Die Neuhinzugekommenen aus Arabien kriegen ihn hinterhergeworfen. Vong Integration wegen...,-1,-1,0,1,1,1
kannst du dann ja indem du widersprichst!! Aber nehmen würdest du eines oder lieber sterben?,-1,-1,0,0,0,1
"da wird einmal etwas positives über Frau Schulze gesagt und schon fragen Sie nach. Bei den anderen Kommentaren, die wirklich grenzwertig sind, wird nicht moderiert. Ärgerlich.",-1,-1,0,0,0,0
Wahl der Schöffen für die  wird durchgeführt -,-1,-1,0,0,0,0
Jaja...es wird noch schlimmer bevor es richtig schlimm wird... |LBR| Mal ehrlich: Denis Yücel hatte irgendwie recht,-1,-1,0,0,0,0
Gleich bei Markus Lanz diskutiere ich über Leitkultur und Integration!,-1,-1,0,0,0,0
Ohne Verschwörungswahn geht im völkischen Milieu auch wirklich gar nichts mehr.,-1,-1,0,0,1,1
Die haben genug mit sich selbst zu tun. Da können sie sich nicht noch um die Belange des Volkes kümmern...,-1,-1,0,0,0,0
Ist doch klar: der Kampf Männer gegen Frauen und umgekehrt soll geschürt werden. Das ist Kulturmarxismus.,-1,-1,0,1,1,1
"Mitglieder des Bundestages drohen nicht mit Krieg, sondern werben parlamentarisch für Ihre Inhalte.",-1,-1,0,0,0,0
Überfüllter Held*innenplatz. Wir gehen von über 60.000 Menschen aus.,-1,-1,0,0,0,0
ich war immer dafür das wie beim letzten mal die mitglieder entscheiden und nicht die funktionäre.,-1,-1,0,0,0,0
fröhlicher gruß aus dem metronom in meine alte heimat,-1,-1,0,0,0,0
NEEEEIN - immer noch der? Ich blockier Dich gleich,-1,-1,0,0,0,1
"Moin, moin  ""Für die Grünen geht es abwärts"" &gt; verstehe ich nicht, wo sie uns doch nun auch die Kosten für den ""Kohleausstieg"" aufbürden",-1,-1,0,0,0,0
"Es geht doch nicht darum , irgendetwas gegeneinander aufzurechnen. Jetzt zu diesem Zeitpunkt geht es um die Gefahr von rechts.",-1,-1,0,0,0,0
"Hat eigentlich mal ein Deutscher Diplomat die anderen Gefangenen in der Türkei besucht und nicht nur Denis""wünscheSaraziendenTod""Yücsel ??",-1,-1,0,1,1,1
sehr gern. Wir von der www.Pflegestimme.de würden gern hierzu die Möglichkeit erhalten dürfen.,-1,-1,0,0,0,0
"Ja, viele Migranten fühlen sich diesem Land eindeutig verbundener als viele „Eingeborenen“ - vielleicht weil angeborenes nicht so selbstverständlich ist? Oder weil ihre Vorfahren zur Zeit Hitlers diesen nicht gewählt haben, sie also diese Schuldgefühle nicht haben?",-1,-1,0,1,1,1
Auf dem Land gute Luft und schnelles Internet reicht vollkommen..,-1,-1,0,0,0,0
"Ein falsches Bild über PL zu erzeugen gehört heute genauso zur Tagespolitik, wie eine massive Hetze gg. RU und Putin (über bezahlte Kräfte!)",-1,-1,0,1,1,1
Folgende Frage stelle ich mal in den Raum. Wieviel Krankenhäuser gibt es in Deutschland ? Und wieviel sind davon überhaupt in der Lage Organe zu entnehmen ? Weiterhin kommt hinzu das die Kosten sehr hoch sind für diese Entnahme der Organe . Das Krankenhaus kann daran nicht verdienen.,-1,-1,0,0,0,0
Ich war zu Zeiten des kalten Krieges 1979 bei der BW. Damals war es noch eine Armee. Heute lacht die Welt über den Verein. Leider!!,-1,-1,0,0,0,0
"Nur weil Rechte etwas fordern, muss es ja nicht falsch sein. Beamter der  übt sich mit dem einzigen Protestierenden im Dialog übers Grundgesetz.",-1,-1,0,0,0,0
"Guter satirischer Schlusssatz vom CDU - Typ: ""Wir sind die Niedersachsen, stockdoof und krummgewachsen...""",-1,-1,0,0,1,0
Gebetsmühlenartige Aufrufe dem Terror nur zu trotzen sind Zeichen der Unfähigkeit dieser Politiker wirksam gegen diesen vorzugehen!,-1,-1,0,1,0,1
"""Der einzige Grund, warum viele Leute denken, die Existenz Gottes und das Wesen der Seele seien schwer zu erkennen liegt darin, das Sie Ihren Geist niemals von den Sinnen ablenken und über die Körperwelten erheben."" — René Descartes (1596-1650), französischer Philosoph, Mathematiker und Naturwissenschaftler",-1,-1,0,0,0,0
