text,is_fake,is_hate_speech,is_toxic
studio satlive sprechen heute stefan schulte vorstandsvorsitzenden fraportag lage frankfurter flughafen bundespräsident steinmeier übergibt mainz welterbeurkunde unesco frühere zentren jüdischer gelehrsamkeit rlp,0,-1,-1
gigi einfach überhaupt lust mehr lucas gigi ibes,0,-1,-1
österreich bundespräsident vanderbellen amtszeit angelobt worden grundsätzlich gehaltenen rede hob hervor wichtig intakte medienlandschaft funktionieren demokratie warnte gefahren fakenews,0,-1,-1
mindestlohn pro stunde vietnam,0,-1,-1
gretathunberg kapitalismus überwinden greta klimahysteriker grüne vorfeldorganisationen sollten ohren schreiben,0,-1,-1
ja schlimmer eigenmächtig irgcterrorists treffen dan verarschen ja mitgliedstaaten bürgerinnen josepeborellsupportsirgc,0,-1,-1
ab uhr spiele bernimad minütigen wechsel survival horror titel callistothegame spielen pulsmesser brauchen bestrafung höchsten puls habt ideen game werbung thecallistoprotocol,0,-1,-1
gerhard kardinal müller gott leugnet folgen klar jakobinischer terrorismus gulagterrorismus auschwitzlager killing fields katyn abtreibung euthanasie,0,-1,-1
deutscher bundeskanzler scholz kündigte plan ausbau windkraft,0,-1,-1
jährige dichterin politische aktivistin nasimshahbazi wurde revolutionsgarden verhaftet leiche wurde gefunden unhrc pahlavireza amnesty abaerbock zdfheute zdf mahsaamini factfinding,0,-1,-1
volles haus gestern kundgebung bayernpartei tanner wachsmarkt schützenkeller themen heute wurde klar mehr entscheidungen ort bayern statt weltfremder berliner politik hubertdornbp thomaspfefferbp,0,-1,-1
drostenluegt,0,-1,-1
vielen dank dkp baerbockruecktritt karlsruhe bundesverfassungsgericht baerbock kriegsverbrecherin ukraine notmywar openpetition dkpmedia,0,-1,-1
erdbeben fehlt erdogan eu insbesondere deutschland schweden verschiebung tektonischer platten verantwortlich macht,0,-1,-1
schnell infektionskrankheiten ausbreiten stellen experiment dabei hilft exponentielle ausbreitung krankheiten verdeutlichen,0,-1,-1
verheerenden erdbeben türkei syrien hunderte menschen vermisst suchgruppe fliegt  montag köln krisengebiet,0,-1,-1
stimmt ungeheuerlich angeblich menschenrechte hochhaltende gesellschaft diskussionen abtreibung christlichfundamentalistischen kreisen heraus darauf aufmerksam gemacht abtreibung kleine menschen tötet inhaltlicher bullshit,0,-1,-1
zeit parität statements initiative paritätjetzt kfddiözesanvorstandes bistum trier mitmachen geht rm wahlrechtsreform gleichundberechtigt frauenworaufwartetihr bundestag,0,-1,-1
irgendein kommandeur mörderischen mullahregimes prahlt land widerstands zentrum erzeugung macht bummm iranrevoiution irgcterrorists,0,-1,-1
polen jahre alt wurde eigenen onkel vergewaltigt dadurch schwanger trotzdem lehnen zwei krankenhäuser ab abtreibung durchzuführen möglich macht sogenannte gewissensklausel,0,-1,-1
eu beschliesst gaspreisdeckel mwh reutersdie deckelung ausgelöst preis gasmarkt pro mwh aufeinanderfolgenden tagen überschreitet ziemlich deutlich schwellenwert ab,0,-1,-1
jin jiyan azadi frau leben freiheit zan zendegi azadi berlinerensemble vorverkauf heute morgen begonnen vorfreude jazmatab melikaforoutan gildasahebi mahsaamini iranrevolution stopexecutioniniran irgcterrorists,0,-1,-1
ernährungssicherung vergangenen jahr deutsche gpräsidentschaft geprägt neues dashboard daten ernährungsunsicherheiten krisenregionen liefern worldbank gafspfund überzeugt fachleute sehen eher kritisch,0,-1,-1
euenergieminister grundsätzlich einführung gaspreisdeckel,0,-1,-1
eigene untersuchung beschlossengpk nehmen berset visier mal vorstellen bundespräsident schweiz bundeshaus bern blickch,0,-1,-1
via travelbookde erdbeben türkei urlauber gefahr verhalten,0,-1,-1
ganzen diskussion elektrofahrzeuge vermisse betrachtung öllieferkette wieso erdöl fördern transportieren raffinieren tankstellen verteilen plötzlich unbedenklich wer vergessen tropfen erdöl liter wasser verunreinigt,0,-1,-1
sportvereine räume hoffnung bundespräsident frankwalter steinmeier heutigen verleihung goldenen sternedessports gänsehautfeeling vorstellung ausgezeichneten vereine projekten bvrpresse sternedessports dosbsportentw,0,-1,-1
erlebe grüne migrationswunder habeck baerbock scholz,0,-1,-1
verkehrswende steckt stau fdp erweckt eindruck wolle fahrlässig verzögern,0,-1,-1
studie klimawandel fördert ausbreitung krankheiten,0,-1,-1
norden syrien disaster uauf hilfe ausland angewiesenein gebiet millionen syrische binnenflüchtlinge katastrophalen verhältnissen lebeneine regiondie welt vergessen hatwas geschieht potus bundeskanzler vonderleyen,0,-1,-1
eu einigt gaspreisdeckel,0,-1,-1
mitarbeiter oh unbekannte email anhang schaue unbedingt stunde später infizierte computer ransomware plötzlich verschlüsselt totaler kontrollverlust firma interne prozesse dasproblemistoftvordemcomputer,0,-1,-1
sonja jan freuen ibes,0,-1,-1
abtreibung abstellraum drei frauen flensburg berichten,0,-1,-1
beiden heute abend supporten callcentercordalis ibes,0,-1,-1
hft stuttgart lehrbeauftragter mwd einführung informatik gesucht studium informatik karriere hftstuttgart,0,-1,-1
möchte nochmals thread hinweisen aufschlüsselt weshalb personen listung irgc getroffen wären durchschnittsbürger zufällig grundwehrdienst revolutionsgarde versehen iranrevolution irgcterrorists,0,-1,-1
erdbeben richterskala tuerkei schweres beben syrien bitte umfassende hilfe aufbieten erschütterungen extrem stark,0,-1,-1
gibt viele corona demonstration impfung vermisse demonstrationen entschädigung deutschland steuer zahlenden betriebe geht gesetze berufs arbeitsverbot erhalten,0,-1,-1
herzlichen glückwunsch grammy erhalten morgen bekommen iran zurück unseren stimmen geschafft shervin grammy bekommt unseren stimmen islamische republik gemeinsam stürzen irgcterrorists,0,-1,-1
news erdbeben todeszahl türkei syrien steigt via derspiegel,0,-1,-1
verbrechen tötung menschen islamische terrorregime iran mahsa amini irgcterrorists,0,-1,-1
widerliche sozi bundespräsident nichtmeinbundespräsident,0,-1,-1
eu irgcterrorists,0,-1,-1
außenministerinnen g gewalt demonstranten kinder iran verurteilt verlangten freilassung protestierenden neue sanktionen wurden beschlossen drohten weiteren strafmaßnahmen iranprotests mahsaamini,0,-1,-1
lithiumtechnik amp wasser video zeigt passieren innenleben lithium basierenden kleinen batterie wasser kontakt kommt ganz schön überwältigend darf demnach durchaus fragen sicher elektrofahrzeuge,0,-1,-1
homedejavu stücke montiereisen reifenheber reifen mehrzweck robust montiereisen montierhebel montierstange reifen fahrräder motorräder wagen elektrofahrzeuge x x cm silber via amazon amazondeamazon,0,-1,-1
türkei dankte elon musk angebot starlinksatellitenunterstützung berichtete kapazität türksat ausreichend sei bloomberg,0,-1,-1
geht los unsichtbare bots zitieren mal tweet sieht nix elon musk plattform unlustigen ideen zerstört,0,-1,-1
münsterischen hotels laufen vorbereitungen gtreffen hochtouren hotel außenministerium gleich komplett gebucht münster,0,-1,-1
wissen schnellladestandort elektrofahrzeuge,0,-1,-1
erdbeben türkei earthquakeinturkey earthquake earthquaketurkey earthquakes turkey,0,-1,-1
meinung warme wohnung darf luxus findet proglrichard chaostruppe berlin endlich arbeiten beginnen bislang ausser ankündigungen sogut geschehen energiekrise gasumlage,0,-1,-1
bundespräsident alexander van bellen heute früh kiew angekommen nachmittag vorfeld freitag geplanten euukrainegipfels wolodymyr selenskyj treffen minister kocher gewessler sowie österreichische,0,-1,-1
team infinity belegt platz first lego league magdeburg ganzen artikel,0,-1,-1
polizeiautos rettungswagen kehrmaschinen elektrofahrzeuge geht orten längst realität beispiel borkum,0,-1,-1
mindestlohn anheben ssw bietet madsen zusammenarbeit,0,-1,-1
kommentar irgcterrorists iran israel,0,-1,-1
bayernpartei neue grundsteuererklärung unnötiger bürokratieirrsinn via napresseportal ots immobilien news,0,-1,-1
immer sagen verliert ukraine krieg eu ende immer verzögert blockiert bundeskanzler ruiniert ansehen,0,-1,-1
grippenet app beobachtet analysiert visualisiert ausbreitung krankheiten dfki,0,-1,-1
grossvater büb wolfgang schwarz kennt arzt approbation verloren jungen mädchen abtreibung geholfen bringen hans hansemannstrasse,0,-1,-1
deutschland sowas afd bundestag sitzt mehr beschämment hitlers gedankengut stirbt leider,0,-1,-1
energie euenergieminister gaspreisdeckel by handelsblatt,0,-1,-1
wenigen punkte bundespräsident vollkommen frei entscheidung alexander van bellen fpö deren chef herbert kickl wahlsieg automatisch auftrag regierungsbildung erteilen,0,-1,-1
thgquote thg prämie verkaufe cozertifikate elektrofahrzeuge,0,-1,-1
social distancing tierreich tierarten schimpansen honigbienen kennen pardon darum geht ausbreitung krankheiten verhindern via natgeo,0,-1,-1
revolutionsgarde euterrorliste irgcterrorists iranprotests iranianwomen,0,-1,-1
österreich müssen gestehen unsere armee jahren finanzieller aushungerung vernachlässigt wüsste waffen liefern könnten sagt bundespräsident vanderbellen,0,-1,-1
einkäufe sonstigen einzelhandel wären ebenso unmöglich anwesenheit arbeitsplatz lese korrekt steht geschrieben tatsächlicher einführung arbeitsverbot ungeimpfte herrschte sachsen kretschmer corona coronaverordnung,0,-1,-1
typisches beispiel warum christen propagierte seamless garment lebensschutz suspekt seiten abtreibungschwangerschaft kommen kommt nennenswerte anzahl ganzheitlichen christlichen lebensschützern,0,-1,-1
fkn elonmusk sei dank schade twitterdotcom wirklich toller platz gerade freaks wirklich missende bot programmiert lieb geworden fu elonmusk,0,-1,-1
gender pay gap frauen verdienten pro stunde weniger männer via napresseportal ots wirtschaft news,0,-1,-1
risiko ausbreitung steigt rapide wobei jahr mehr fünf neue krankheiten beim menschen auftreten denen potenzial pandemie bericht zufolge wäre jedoch falsch wildtiere auftreten,0,-1,-1
brauchen rechtsextremisten bundestag noafd wannwachtihrauf afdmachtdumm,0,-1,-1
argumente katja diehl annewill annewilltalk ard bundestag,0,-1,-1
selenskyj verhängt sanktionen österreichische firmen bundespräsident vanderbellen fährt brav zeigt solidarität ukrainekrieg,0,-1,-1
warum denkt elon musk mars erfolgreich bessere mittel wege roten planeten verbindung treten exfrau,0,-1,-1
wegen ausbreitung covid tirol staatsanwaltschaft innsbruck ermittlungsverfahren eingeleitet gericht ermittelt wegen gefährdung menschen übertragbare krankheiten,0,-1,-1
türkei janine wissler übersteht erdbebenkatastrophe diyarbakir spiegel aprizionde,0,-1,-1
bundespraesident frankwalter steinmeier worms erneut m jüdichen kippa unterwegs zählt schon kulturelle aneignung zudem vermisse unserem staatsoberhaupt religiöse neutralität staatsdienern dienst verlangt bild sz welt,0,-1,-1
annalena baerbock grüne lange überlegt heutige verkleidung angeht eigentlich leopard kommen sorge kanzleramt wochenlang reisegenehmigung erteilt deutscher humor kriegszeiten,0,-1,-1
reden mann csu darum geht leistung zeigen dünn bayernpartei freiesbayern,0,-1,-1
zusammen zulieferer entwickelt audi feinstaubfilter elektrofahrzeuge feinstaub umgebung auffangen passiert ladens fahrt filter schon beitragen luftqualität verbessern,0,-1,-1
scholz bundeskanzler spdde olafscholz panzler scholz macht druck verbündete niemand leos liefern,0,-1,-1
neuer beitrag usa abtreibung mehr alabama arte reportage artede wissen,0,-1,-1
immer begeistert teilnahmen informatikbiber aktuell ersten grundschulbiber schulen d welt reisenden biber schweden,0,-1,-1
tagesschau mehr zerstörerisch sagt überlebender stadt beira mosambik zyklon idai mehr zerstört helfer befürchten ausbreitung krankheiten,0,-1,-1
schwangerschaft abtreibung grad gehört ne exkollegin schon kinder letztes jahr unverhofft schwanger wurde abgetrieben schwanger abtreiben familienplanung weiß wäre verhüten einfacher,0,-1,-1
möchte falsche christliche religion blossstellen,0,-1,-1
gedanken opfern erdbebens angehörigen erdbeben,0,-1,-1
presseclub freudscher versprecher unintelligent baerbock weiß cathryn clüver asbrook einfach mehr atombombe schneller dabei,0,-1,-1
ep bericht menschenrechte angenommen darin herrschende ideologische durcheinander deutlich abtreibung gut recht frau schlecht instrument selektion diskriminierung,0,-1,-1
global mio elektrofahrzeuge fahren zzt mio ölnachfrage verhältnis wachstum wesentlich sinken bedarf öl produktion anderer materialien transport bevölkerungswachstum auswirkungen efahrzeugen aufheben,0,-1,-1
