text,isFake,isHateSpeech,isToxic,predicted_isFake,predicted_isHateSpeech,predicted_isToxic
WELT: So schnell könnte der EU-Gaspreisdeckel nutzlos werden. Der geplante Gaspreisdeckel der EU könnte den Börsenhandel mit dem Brennstoff weitgehend zum Erliegen bringen. Der Betreiber des wichtigsten europ. Handelsplatzes prüft bereits den Umzug nach UK https://t.co/78QSwUnxL8,1,-1,-1,0,0,0
"Immer, wenn meine seit Mai kaputte Klingelanlage zur Sprache komme, erwähne ich diese beiden Starkis hier, die es weitaus schlimmer getroffen hat. Und es gibt so viele die noch betroffen sind von der Flutkatastrophe und denen nicht mehr geholfen wird!",1,-1,-1,0,0,0
Ideologie statt Lösungen: Die EU und ihr gefährlicher „Gaspreisdeckel“ https://t.co/4KcdbrXYZc,1,-1,-1,1,0,0
"Der EU- ist ein befristeter Notfall-Mechanismus, um BürgerInnen und Wirtschaft vor verrückten Marktpreisen zu schützen. 

Er ersetzt jedoch nicht die europäische Solidarität, den gemeinsamen Energieeinkauf, die Strommarktreform und die Schaffung einer Energieunion.",1,-1,-1,0,0,0
"Die Politik des zionistischen Regimes gegenüber palästinensischen Kriegsgefangenen hat zur Ausbreitung von Krankheiten unter Gefangenen geführt, insbesondere unter Kindern, und einige dieser Kinder wurden infolge dieser Krankheiten getötet.",1,-1,-1,1,1,1
Ranger Bill - Danger! Gasoline Leak - https://t.co/0CfS6N4nLa https://t.co/1p5vBLgMsi,1,-1,-1,0,0,0
"ist over. 
Überblick von @RoisinMichaux über den wachsenden Widerstand gegen die Gesetzgebung 
U.a. Einblick über @MarcoBuschmann, dem Frauenrechte egal sind. 
@fdpbt @fdpltby @DjirSarai @initiative_lfs 

https://t.co/l6nb97EQx5",1,-1,-1,0,0,0
"+++ Update: Fr., 15:45 Uhr +++ wird der Bereich rund um das  gesperrt. Die  wird ab der  gesperrt und auch der  wird rund um die Freifläche gesperrt.",1,-1,-1,0,0,0
"Nein, ist sie nicht. Sie sagt Männer können keine Frauen sein und sie äußert Kritik an einem Gesetz. J.K.Rowling sind Frauenrechte wichtig und das ist nicht transphob, das ist fantastisch. Wer das scheisse findet, sollte sich fragen, warum er Männerfühlis Frauen vorzieht.",1,-1,-1,1,1,1
Used Fuel Tank fits 2010 Volkswagen Golf Sdn gasoline 2.0L Grade A https://t.co/ChCI6FvAFP https://t.co/qMoDHmd2In,1,-1,-1,0,0,0
"Rechts die Dame   ??
Sie winkt frech während einer Pressekonferenz im  direkt nach 

 hat fertig, nein, wurde fertig gemacht. Was erwartet man auch von einem Land, das nur ein Konstrukt ist und weder frei noch souverän?",1,-1,-1,1,1,1
(Plus-Artikel) Vor rund einem Jahr haben Handwerker aus der Region im Ahrtal geholfen. Wie die Helfer die Lage eineinhalb Jahre nach der Flutkatastrophe bewerten: https://t.co/wBO5uANzk7,1,-1,-1,0,0,0
Passenger Axle Shaft Gasoline 2.0L VIN 2 8th Digit Fits 12-18 FOCUS 5658256 https://t.co/OM5wHXrJKX eBay https://t.co/6vCUZ81M9C,1,-1,-1,0,0,0
"Heute und morgen findet das -Außenminister:innen-Treffen in  statt. Technisch gesehen gibt es kaum einen ungeeigneteren Ort als unbedingt dort. BTW, passt auf die Sniper auf den Dächern auf.",1,-1,-1,1,0,1
"Das Jahr neigt sich dem Ende zu und mit ihm die deutsche -Präsidentschaft 2022. @Women7official
 zieht Bilanz, welche -Forderungen von der G7 aufgegriffen wurden und sich in der G7-Abschlusserklärung wiederfinden: https://t.co/rbWac5yjvv",1,-1,-1,0,0,0
"Diese Experten sagen auch:

… zwei Wochen, um die Kurve abzuflachen

…Abriegelungen funktionieren

…Impfstoffe verhindern Infektionen und Übertragungen

…Arbeitsverbot für Ungeimpfte ist keine Nötigung

…Herzinfarkte werden durch das ""Auslassen des Frühstücks"" verursacht https://t.co/1pbHQbIUTQ",1,-1,-1,1,1,1
"Heute - wird sicher interessant, wie Monika Berz die Frauenrechte verteidigt!",1,-1,-1,0,0,0
D 2023: 43 % aller Alleinerziehenden gelten als einkommensarm. 88 % aller Alleinerziehenden sind Mütter. Gender Pay Gap= 18 %. Im Frauenhaus leben 2/3 aller Frauen im Transferleistungsbezug. Fast 3/4 aller FH-Bewohner*innen haben Kids unter 12. Noch jemand  Fragen?,1,-1,-1,0,0,0
"soll im  gehängt werden!

Lt. iranischen Medien plant das Justizsystem, den 26-jährigen Fußballer Amir Nasr-Azadani zu hängen.
Amir hat sich für  in seinem  eingesetzt.

 


https://t.co/WWnbZOfytv https://t.co/S7n6KXYHWv",1,-1,-1,1,1,1
