text,fake,hatespeech,toxicity
"In #England, #Wales, #Schottland, #Frankreich, #Norwegen, #Spanien &amp; #Schweden dürfen Entbindungspfleger*innen eine medikamentöse #Abtreibung anbieten, in #Deutschland ist das nicht erlaubt. #Slowenien hat überhaupt keine offizielle Regelung dazu, wer Abbrüche durchführen darf. https://t.co/ZPr5VYaDwY",0,0,0
"Gegen Abtreibung, Ehe nur zwischen Mann und Frau... - immer wieder wirbt die #AfD mit solchen Positionen um christliche Wähler. Trotzdem gibt es zum 10. Geburtstag der Partei heute keine Gratulationen der #Kirchen, sondern im Gegenteil Ablehnung,  Abgrenzung und Kritik.",0,0,1
"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/0j1Rhhs7s1",0,0,1
"Ich bete wo und wie ich will; ob ich dabei einen Rosenkranz in der Hand halte oder nur in Gedanken bete, ist allein meinem Gewissen und keinem einzigen Gesetz unterworfen. 
#dieGedankenSindFrei #abtreibung",0,0,0
"Gott hat seinen eigenen Sohn getötet. Als der schon 30 Jahre alt war.
Aber er ist gegen Abtreibung?

Aha, aha, aha.",0,0,0
"https://t.co/BSIRLZEUx7
spiegelonline hat eine Headline geändert. 

News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen

 Alle Änderungen auf https://t.co/MPNnN5WE3g https://t.co/AOjLrInXUI",0,0,1
"Mit ein paar Einschätzungen von mir 👇
Empört, bewegt, polarisiert: Wie die Politik in Europa und den USA das Thema Abtreibung für sich nutzt https://t.co/UugUXuVRVO via @Tagesspiegel",0,0,1
"Frankreich: Senat will ""Recht"" auf Abtreibung in Verfassung verankern

https://t.co/CFQecIqBLX",0,0,1
"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/Z8tcaJvvdU Die Regierung forscht nach Spionageballons. Die Klimakleber bringen die Pendler wieder auf Betriebstemperatur. Und die AfD-Geburts…",0,0,1
"Immer Details, die Abtreibungsfans verschweigen/verstecken:
https://t.co/dReWGk2aNO
""Mädchen war sich der Schwangerschaft nicht bewusst""

Oben schreibt man:
""Doch nun wurde einem Teenager der Schwangerschaftsabbruch trotzdem verwehrt""

Nein, ihr wurde Abtreibung nicht verwert,",0,0,1
"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/Z8tcaJvvdU Die Regierung forscht nach Spionageballons. Die Klima-Kleber bringen die Pendler wieder auf Betriebstemperatur. Und die AfD-Geburt…",0,0,1
"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/igeRwACu05 https://t.co/6kRJoNaTAc",0,0,1
"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/0LiHOLEvYV",0,0,1
Tagsüber demonstriere ich übrigens auch vor Kliniken gegen Abtreibung. Abends habe ich allerdings abgetrieben. Aber das ist privat und darf man nicht miteinander vergleichen! 💁🏼‍♀️#sterntv,0,0,0
"Die Rechten: Moral hätte in der Politik nichts verloren aber Begründung gegen Recht auf Abtreibung, Mindestlohn, Erbschaftssteuer etc. 

Weiss auch nicht mehr.",0,0,0
